ID,Age,KidsAtHomeWhoDrive,Income,VehicleYear,Collision,Deductable,Roadside,Extra,Rank
1,42,0,80845,2011,1mill_Collision,300_Deductable,no_Roadside,no_Extra,6
1,42,0,80845,2011,1mill_Collision,500_Deductable,yes_Roadside,no_Extra,5
1,42,0,80845,2011,2mill_Collision,500_Deductable,no_Roadside,no_Extra,8
1,42,0,80845,2011,2mill_Collision,1000_Deductable,yes_Roadside,yes_Extra,9
1,42,0,80845,2011,5mill_Collision,1000_Deductable,yes_Roadside,yes_Extra,4
1,42,0,80845,2011,5mill_Collision,300_Deductable,yes_Roadside,yes_Extra,1
1,42,0,80845,2011,2mill_Collision,300_Deductable,no_Roadside,yes_Extra,7
1,42,0,80845,2011,1mill_Collision,500_Deductable,yes_Roadside,yes_Extra,3
1,42,0,80845,2011,5mill_Collision,1000_Deductable,no_Roadside,no_Extra,2
2,34,0,36552,2010,1mill_Collision,300_Deductable,no_Roadside,no_Extra,9
2,34,0,36552,2010,1mill_Collision,500_Deductable,yes_Roadside,no_Extra,8
2,34,0,36552,2010,2mill_Collision,500_Deductable,no_Roadside,no_Extra,7
2,34,0,36552,2010,2mill_Collision,1000_Deductable,yes_Roadside,yes_Extra,3
2,34,0,36552,2010,5mill_Collision,1000_Deductable,yes_Roadside,yes_Extra,2
2,34,0,36552,2010,5mill_Collision,300_Deductable,yes_Roadside,yes_Extra,1
2,34,0,36552,2010,2mill_Collision,300_Deductable,no_Roadside,yes_Extra,6
2,34,0,36552,2010,1mill_Collision,500_Deductable,yes_Roadside,yes_Extra,4
2,34,0,36552,2010,5mill_Collision,1000_Deductable,no_Roadside,no_Extra,5
3,55,0,86010,2013,1mill_Collision,300_Deductable,no_Roadside,no_Extra,4
3,55,0,86010,2013,1mill_Collision,500_Deductable,yes_Roadside,no_Extra,5
3,55,0,86010,2013,2mill_Collision,500_Deductable,no_Roadside,no_Extra,9
3,55,0,86010,2013,2mill_Collision,1000_Deductable,yes_Roadside,yes_Extra,6
3,55,0,86010,2013,5mill_Collision,1000_Deductable,yes_Roadside,yes_Extra,1
3,55,0,86010,2013,5mill_Collision,300_Deductable,yes_Roadside,yes_Extra,3
3,55,0,86010,2013,2mill_Collision,300_Deductable,no_Roadside,yes_Extra,8
3,55,0,86010,2013,1mill_Collision,500_Deductable,yes_Roadside,yes_Extra,7
3,55,0,86010,2013,5mill_Collision,1000_Deductable,no_Roadside,no_Extra,2
4,25,0,45964,1989,1mill_Collision,300_Deductable,no_Roadside,no_Extra,7
4,25,0,45964,1989,1mill_Collision,500_Deductable,yes_Roadside,no_Extra,9
4,25,0,45964,1989,2mill_Collision,500_Deductable,no_Roadside,no_Extra,4
4,25,0,45964,1989,2mill_Collision,1000_Deductable,yes_Roadside,yes_Extra,6
4,25,0,45964,1989,5mill_Collision,1000_Deductable,yes_Roadside,yes_Extra,2
4,25,0,45964,1989,5mill_Collision,300_Deductable,yes_Roadside,yes_Extra,3
4,25,0,45964,1989,2mill_Collision,300_Deductable,no_Roadside,yes_Extra,5
4,25,0,45964,1989,1mill_Collision,500_Deductable,yes_Roadside,yes_Extra,8
4,25,0,45964,1989,5mill_Collision,1000_Deductable,no_Roadside,no_Extra,1
5,40,0,62613,2009,1mill_Collision,300_Deductable,no_Roadside,no_Extra,4
5,40,0,62613,2009,1mill_Collision,500_Deductable,yes_Roadside,no_Extra,5
5,40,0,62613,2009,2mill_Collision,500_Deductable,no_Roadside,no_Extra,9
5,40,0,62613,2009,2mill_Collision,1000_Deductable,yes_Roadside,yes_Extra,8
5,40,0,62613,2009,5mill_Collision,1000_Deductable,yes_Roadside,yes_Extra,1
5,40,0,62613,2009,5mill_Collision,300_Deductable,yes_Roadside,yes_Extra,3
5,40,0,62613,2009,2mill_Collision,300_Deductable,no_Roadside,yes_Extra,7
5,40,0,62613,2009,1mill_Collision,500_Deductable,yes_Roadside,yes_Extra,6
5,40,0,62613,2009,5mill_Collision,1000_Deductable,no_Roadside,no_Extra,2
6,31,0,58891,2009,1mill_Collision,300_Deductable,no_Roadside,no_Extra,9
6,31,0,58891,2009,1mill_Collision,500_Deductable,yes_Roadside,no_Extra,4
